No,기업명,사업영역,RE100 목표/달성률,가입연도
21,LG이노텍,"광학솔루션, 기판소재, 전장부품, 전자부품의 4개 사업…",2030 (61%),2022
20,KT,"유무선통신, 초고속인터넷, IPTV, ICT, 금융사업…",2050 (1%),2022
19,기아,"완성차(승용차, 상용차, 전기차, 하이브리드차 등) 제…",2040 (9%),2022
18,현대자동차,"완성차 (승용차, 상용차, 전기차, 수소차, 하이브리드…",2045 (13%),2022
17,현대위아,"자동차 부품(엔진, 열관리 모듈, 등속조인트 등) 제조…",2045 (1%),2022
16,현대모비스,"자동차 부품(자율주행, IVI, 전동화, 제동, 조향,…",2040 (9%),2022
15,인천국제공항공사,"인천국제공항의 건설 및 관리/운영, 주변지역개발, 부대…",2040 (24%),2022
14,롯데칠성음료,"탄삼음료, 주스, 커피, 차, 생수, 주류 등",2040 (7%),2021
13,SK아이이테크놀로지,2차전지 분리막,2030 (57%),2021
12,미래에셋증권,증권사,2025 (14%),2021
11,고려아연,"아연, 연, 금, 은, 동, 인듐 및 희소금속 등 총 …",2050 (0%),2021
10,KB금융그룹,종합금융그룹2040년2021년,2040 (1%),2021
9,한국수자원공사,"수자원 개발 및 관리, 생활용수 공급",2050 (84%),2021
8,LG에너지솔루션,"소형 IT용, 전기차용, ESS용 등의 배터리 제조",2030 (56%),2021
7,아모레퍼시픽,"화장품, 생활용품, 건강식품 제조",2030 (51%),2021
6,SKC,"2차전지(동박, PCT 필름, PVB 필름), 반도체 …",2050 (0%),2020
5,SK실트론,실리콘 웨이퍼 제조,2050 (25%),2020
4,SK머티리얼즈,산업용 특수가스,2050 (20%),2020
3,㈜SK,SK그룹의 지주회사,2040 (18%),2020
2,SK텔레콤,이동통신 서비스,2050 (9%),2020
1,SK하이닉스,"메모리 반도체(DRAM, NAND Flash, MCP)…",2050 (30%),2020
