거래일자,계약형태, 거래건수(건) , 거래물량(MWh) , 거래물량(REC) , 평균단가(원_MWh) , 평균단가(원_REC) 
2023-06-02, 현물계약 ,8 ,1008 ,1029 ,78633 ,77020 
2023-06-02, 수의계약 ,1 ,408 ,204 ,76500 ,153000 
2023-06-16, 현물계약 ,15 ,1854 ,1869 ,77171 ,76554 
2023-06-16, 수의계약 , 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2023-07-21, 현물계약 ,9 ,1217 ,1229 ,76869 ,76138 
2023-07-21, 수의계약 ,2 ,69 ,83 ,178544 ,149062 
2023-08-04, 현물계약 ,8 ,2507 ,2480 ,77209 ,78035 
2023-08-04, 수의계약 ,17 ,3990 ,3960 ,76704 ,77291 
2023-08-18, 현물계약 ,16 ,2333 ,2385 ,81160 ,79397 
2023-08-18, 수의계약 ,7 ,50 ,75 ,94900 ,63267 
2023-09-08, 현물계약 ,17 ,2035 ,2064 ,83238 ,82074 
2023-09-08, 수의계약 , 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2023-09-22, 현물계약 ,7 ,5969 ,6004 ,81974 ,81501 
2023-09-22, 수의계약 , 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2023-10-06, 현물계약 ,10 ,2180 ,2025 ,83314 ,89708 
2023-10-06, 수의계약 , 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2023-10-20, 현물계약 ,13 ,4984 ,4907 ,86948 ,88311 
2023-10-20, 수의계약 , 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2023-11-03, 현물계약 ,15 ,2334 ,2941 ,73324 ,63587 
2023-11-03, 수의계약 ,2 ,19 ,28 ,109950 ,73300 
2023-11-17, 현물계약 ,33 ,4267 ,4297 ,80495 ,79927 
2023-11-17, 수의계약 ,28 ,2001 ,2943 ,108788 ,73953 
2023-12-08, 현물계약 ,28 ,11620 ,8475 ,80214 ,110328 
2023-12-08, 수의계약 , 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2023-12-22, 현물계약 ,15 ,2438 ,2614 ,85991 ,80198 
2023-12-22, 수의계약 ,21 ,15759 ,13554 ,80456 ,93544 
2024-01-05, 현물계약 ,1 ,20 ,49000 ,51352 ,21 
2024-01-05, 수의계약 , 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2024-01-19, 현물계약 ,4 ,161 ,138 ,74727 ,86923 
2024-01-19, 수의계약 ,6 ,3033 ,2963 ,131805 ,137964 
2024-02-02, 현물계약 ,2 ,436 ,448 ,83470 ,81219 
2024-02-02, 수의계약 ,11 ,537 ,464 ,140905 ,163028 
2024-02-16, 현물계약 ,10 ,3962 ,2109 ,78202 ,146927 
2024-02-16, 수의계약 ,40 ,2562 ,4956 ,131378 ,139535 
2024-03-08, 현물계약 ,20 ,7996 ,5086 ,78879 ,124012 
2024-03-08, 수의계약 ,5 ,924 ,887 ,47067 ,49036 
2024-03-22, 현물계약 ,14 ,1971 ,1912 ,81513 ,84033 
2024-03-22, 수의계약 ,33 ,8743 ,8754 ,84297 ,84343 
2024-04-05,현물계약,15 ,938 ,952 ,82618 ,81367 
2024-04-05,수의계약,8 ,324 ,332 ,167498 ,163231 
2024-04-19,현물계약,10 ,707 ,724 ,82502 ,80556 
2024-04-19,수의계약, 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2024-06-07,현물계약,11 ,6957 ,4420 ,77975 ,122868 
2024-06-07,수의계약,21 ,10691 ,8066 ,45257 ,59985 
2024-06-21,현물계약,14 ,2445 ,2283 ,77794 ,83325 
2024-06-21,수의계약,7 ,1012 ,986 ,72109 ,74022 
2024-07-19,현물계약,14 ,2373 ,2388 ,79434 ,78925 
2024-07-19,수의계약,14 ,2335 ,2111 ,97128 ,107413 
2024-08-02,현물계약,9 ,1300 ,1261 ,80963 ,83454 
2024-08-02,수의계약, 거래없음 , 거래없음 , 거래없음 , 거래없음 , 거래없음 
2024-09-06,현물계약,21 ,2147 ,2101 ,80494 ,82262 
2024-09-06,수의계약,4 ,1735 ,1506 ,148198 ,170740 
2024-09-20,현물계약,20 ,3896 ,3447 ,81683 ,92321 
2024-09-20,수의계약,6 ,1077 ,1036 ,70502 ,73302 
2024-10-04,현물계약,8 ,2744 ,2730 ,81456 ,81867 
2024-10-04,수의계약,3 ,840 ,840 ,75000 ,75000 
2024-10-18,현물계약,8 ,3659 ,2416 ,76720 ,116342 
2024-10-18,수의계약,18 ,1479 ,1385 ,52104 ,55640 
2024-11-08,현물계약,41 ,12741 ,12612 ,81651 ,82512 
2024-11-08,수의계약,59 ,2468 ,3659 ,163598 ,110329 
