다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기온, 강수량
,검색구분 : 월
,지점명 : 강릉,대관령,동해,북강릉,북춘천,삼척,속초,영월,원주,인제,정선군,철원,춘천,태백,홍천
,기간 : 2021 ~ 2023  01~12

선택 전체 통계
일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2021-01,-3.4,2.2,-8.8,10.2
 2021-02,1.8,7.8,-4.0,5.0
 2021-03,7.3,13.5,1.7,101.2
 2021-04,11.9,18.0,6.0,102.7
 2021-05,15.5,21.1,10.2,159.4
 2021-06,20.6,25.7,16.3,78.7
 2021-07,25.3,30.6,21.2,144.7
 2021-08,23.5,27.9,20.2,247.8
 2021-09,19.9,24.8,16.0,135.3
 2021-10,13.6,19.4,9.1,91.1
 2021-11,6.9,12.9,2.0,37.2
 2021-12,0.0,5.3,-4.9,16.7
 2022-01,-2.9,2.9,-8.4,3.3
 2022-02,-1.9,4.0,-7.5,5.5
 2022-03,6.2,12.0,0.7,88.7
 2022-04,13.2,19.8,6.6,39.8
 2022-05,17.3,23.9,10.5,9.3
 2022-06,21.3,26.2,17.0,267.0
 2022-07,24.8,29.4,21.5,212.4
 2022-08,24.0,27.9,20.8,404.4
 2022-09,19.4,25.3,14.8,197.9
 2022-10,12.3,18.3,7.7,173.7
 2022-11,8.2,14.9,2.7,57.4
 2022-12,-3.6,1.8,-8.4,6.4
 2023-01,-2.7,3.0,-8.0,49.9
 2023-02,1.0,6.7,-4.3,16.0
 2023-03,8.3,15.3,1.4,13.1
 2023-04,12.2,18.2,6.2,57.5
 2023-05,17.2,23.4,11.0,112.0
 2023-06,21.6,27.1,16.8,196.6





