"에너지별(1)",에너지별(2),에너지별(3),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"에너지별(1)",에너지별(2),에너지별(3),강원,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,기타,강원,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,기타
"신·재생에너지 합계 (toe)",소계,소계,1730425,220719,56095,479264,154194,90591,5871,93887,47193,43395,126600,121229,41595,52744,74827,27891,40620,38578,11276,3856,1769330,197146,65268,434497,199719,98592,8503,145707,49876,41504,122840,118642,40634,52888,70701,28633,40515,38561,11345,3759
"신·재생에너지 합계 (toe)",재생에너지,소계,1671606,220641,56019,479235,122201,90591,5871,93885,47193,43388,100093,121107,41595,52744,74827,27891,40620,38578,11276,3850,1673175,183547,65171,416449,167434,98592,8503,145705,49876,41496,90852,118521,40634,52888,70701,28633,40515,38561,11345,3752
"신·재생에너지 합계 (toe)",신에너지,소계,58819,77,77,29,31992,-,-,1,-,7,26507,121,-,-,-,-,-,-,-,6,96154,13599,97,18048,32285,-,-,2,-,8,31988,121,-,-,-,-,-,-,-,6
"신·재생에너지 지역별 공급비중 (%)",소계,소계,100.00,12.76,3.24,27.70,8.91,5.24,0.34,5.43,2.73,2.51,7.32,7.01,2.40,3.05,4.32,1.61,2.35,2.23,0.65,0.22,100.00,11.14,3.69,24.56,11.29,5.57,0.48,8.24,2.82,2.35,6.94,6.71,2.30,2.99,4.00,1.62,2.29,2.18,0.64,0.21
"재생에너지 (toe)",태양열,소계,2492,146,209,508,219,54,130,112,50,131,50,68,116,226,58,132,167,55,28,35,2266,134,186,467,199,48,115,103,45,120,45,62,107,207,51,133,152,43,26,22
"재생에너지 (toe)",태양광,소계,468677,23466,39050,32666,7489,18011,2861,31414,38550,18566,31059,34344,21880,47194,25249,23964,30439,35330,6475,671,497531,24221,42579,34145,8269,19481,3105,36619,41627,20483,32746,38120,23142,47753,26001,25010,31647,35519,6443,620
"재생에너지 (toe)",태양광,사업용,411415,16441,31410,27075,5414,17101,1221,27272,33982,15349,28423,31695,19828,43802,24235,22219,27837,32811,5302,-,436440,16950,34529,28148,5894,18558,1356,32107,36495,17037,29859,35443,20954,44511,24962,22993,28652,32748,5244,-
"재생에너지 (toe)",태양광,자가용,57262,7024,7640,5591,2075,910,1641,4142,4568,3217,2637,2649,2052,3392,1014,1745,2602,2518,1173,671,61091,7271,8050,5998,2375,922,1749,4512,5133,3446,2887,2677,2187,3242,1039,2017,2995,2772,1199,620
"재생에너지 (toe)",풍력,소계,203379,7,-,18284,-,70869,1,6790,-,19123,86,75456,11556,-,1,9,460,-,353,381,204692,6,-,18277,-,76400,1,6425,-,15318,7377,69869,9838,-,1,8,221,4,600,347
"재생에너지 (toe)",풍력,사업용,202876,-,-,18279,-,70869,-,6774,-,19123,78,75455,11547,-,-,-,398,-,353,-,204226,-,-,18272,-,76400,-,6403,-,15318,7370,69868,9830,-,-,-,165,-,600,-
"재생에너지 (toe)",풍력,자가용,502,7,-,5,-,-,1,17,-,-,8,1,9,-,1,9,62,-,-,381,466,6,-,5,-,-,1,21,-,-,7,1,8,-,1,8,56,4,-,347
"재생에너지 (toe)",수력,소계,249064,187526,-,406,7087,-,-,2461,164,1002,-,-,3070,229,45419,59,381,171,1090,-,201574,145872,-,392,5890,-,-,2472,74,1134,-,-,3248,182,40938,70,56,120,1125,-
"재생에너지 (toe)",수력,사업용,249064,187526,-,406,7087,-,-,2461,164,1002,-,-,3070,229,45419,59,381,171,1090,-,201574,145872,-,392,5890,-,-,2472,74,1134,-,-,3248,182,40938,70,56,120,1125,-
"재생에너지 (toe)",수력,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",해양,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",지열,소계,24057,1827,4295,2514,208,123,683,813,1042,810,817,3715,774,164,762,847,1548,888,219,2010,24334,1823,4738,2504,206,123,599,751,1077,850,788,3722,780,182,756,729,1544,934,216,2010
"재생에너지 (toe)",수열,소계,709,-,-,79,-,15,-,183,273,-,-,-,-,-,-,-,7,83,69,-,713,-,-,79,-,15,-,183,273,-,-,4,-,-,-,-,7,83,69,-
"재생에너지 (toe)",바이오,소계,481691,7212,10088,355884,45543,1510,2058,10956,6622,3755,3689,7523,4118,4841,3338,2880,6762,2052,2106,753,467392,8455,12904,323305,43219,1481,2964,31168,6109,3286,3314,6743,3519,4513,2954,2682,6265,1858,1898,753
"재생에너지 (toe)",바이오,바이오가스,4193,687,2379,42,-,-,681,-,405,-,-,-,-,-,-,-,-,-,-,-,7425,908,4496,83,-,-,1323,-,616,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",바이오,매립지가스,266,-,266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155,-,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
